caso 0
					4: 4572 IOP10000T
					4: 4550 IOP10000T
					4: 4546 IOP10000T
					4: 4543 IOP10000T
					4: 4547 IOP10000T
					4: 4573 IOP10000T
					4: 4567 IOP10000T
					4: 4552 IOP10000T
					4: 4556 IOP10000T
					4: 4577 IOP10000T
					4: 4553 IOP10000T
					4: 4588 IOP10000T
					4: 4584 IOP10000T
					4: 4564 IOP10000T
					4: 4552 IOP10000T
					4: 4555 IOP10000T
					4: 4559 IOP10000T
					4: 4555 IOP10000T
					4: 4568 IOP10000T
					4: 4564 IOP10000T
					4: 4564 IOP10000T
					4: 4586 IOP10000T
					4: 4604 IOP10000T
					4: 4578 IOP10000T
					4: 4562 IOP10000T
					4: 4578 IOP10000T
					4: 4563 IOP10000T
					4: 4580 IOP10000T
					4: 4544 IOP10000T
					4: 4563 IOP10000T

caso 1
4: 3933 KFLOP10000T
4: 3925 KFLOP10000T
4: 3920 KFLOP10000T
4: 3953 KFLOP10000T
4: 3928 KFLOP10000T
4: 3915 KFLOP10000T
4: 3925 KFLOP10000T
4: 3910 KFLOP10000T
4: 3950 KFLOP10000T
4: 3931 KFLOP10000T
4: 3913 KFLOP10000T
4: 3940 KFLOP10000T
4: 3953 KFLOP10000T
4: 3926 KFLOP10000T
4: 3939 KFLOP10000T
4: 3908 KFLOP10000T
4: 3889 KFLOP10000T
4: 3918 KFLOP10000T
4: 3913 KFLOP10000T
4: 3908 KFLOP10000T
4: 3919 KFLOP10000T
4: 3905 KFLOP10000T
4: 3907 KFLOP10000T
4: 3921 KFLOP10000T
4: 3914 KFLOP10000T
4: 3929 KFLOP10000T
4: 3932 KFLOP10000T
4: 3932 KFLOP10000T
4: 3951 KFLOP10000T

caso 2
					5: 2634 IOP10000T
6: 1929 KFLOP10000T
					5: 2676 IOP10000T
6: 1935 KFLOP10000T
					5: 2644 IOP10000T
6: 1938 KFLOP10000T
					5: 2635 IOP10000T
6: 1938 KFLOP10000T
					5: 2654 IOP10000T
6: 1933 KFLOP10000T
					5: 2695 IOP10000T
6: 1927 KFLOP10000T
					5: 2647 IOP10000T
6: 1928 KFLOP10000T
					5: 2701 IOP10000T
6: 1919 KFLOP10000T
					5: 2687 IOP10000T
6: 1929 KFLOP10000T
					5: 2668 IOP10000T
6: 1926 KFLOP10000T
					5: 2640 IOP10000T
6: 1937 KFLOP10000T
					5: 2650 IOP10000T
6: 1936 KFLOP10000T
					5: 2651 IOP10000T
6: 1930 KFLOP10000T
					5: 2646 IOP10000T
6: 1937 KFLOP10000T
					5: 2678 IOP10000T
6: 1929 KFLOP10000T
					5: 2670 IOP10000T
6: 1925 KFLOP10000T
					5: 2661 IOP10000T
6: 1934 KFLOP10000T
					5: 2657 IOP10000T
6: 1934 KFLOP10000T
					5: 2657 IOP10000T
6: 1940 KFLOP10000T
					5: 2619 IOP10000T
6: 1935 KFLOP10000T
					5: 2634 IOP10000T
6: 1938 KFLOP10000T
					5: 2662 IOP10000T
6: 1931 KFLOP10000T
					5: 2651 IOP10000T
6: 1931 KFLOP10000T
					5: 2658 IOP10000T
6: 1938 KFLOP10000T
					5: 2638 IOP10000T
6: 1937 KFLOP10000T
					5: 2644 IOP10000T
6: 1929 KFLOP10000T
					5: 2683 IOP10000T
6: 1940 KFLOP10000T
					5: 2680 IOP10000T
6: 1939 KFLOP10000T
					5: 2638 IOP10000T
6: 1925 KFLOP10000T

caso 3
					6: 3440 IOP10000T
					5: 3937 IOP10000T
					5: 4139 IOP10000T
					6: 3296 IOP10000T
					5: 3837 IOP10000T
					6: 3439 IOP10000T
					5: 4095 IOP10000T
					6: 3543 IOP10000T
					6: 3100 IOP10000T
					5: 3786 IOP10000T
					5: 3835 IOP10000T
					6: 3195 IOP10000T
					5: 3511 IOP10000T
					6: 3366 IOP10000T
					5: 3811 IOP10000T
					6: 3293 IOP10000T
					5: 3802 IOP10000T
					6: 3376 IOP10000T
					5: 3801 IOP10000T
					6: 3304 IOP10000T
					5: 3889 IOP10000T
					6: 3128 IOP10000T
					5: 3784 IOP10000T
					6: 3374 IOP10000T
					5: 3816 IOP10000T
					6: 3387 IOP10000T
					5: 3812 IOP10000T
					6: 3389 IOP10000T
					5: 4027 IOP10000T
					6: 3415 IOP10000T
					5: 3664 IOP10000T
					6: 3311 IOP10000T
					5: 3891 IOP10000T
