caso 0
					4: 5598 IOP1000T
					4: 5620 IOP1000T
					4: 5620 IOP1000T
					4: 5603 IOP1000T
					4: 5603 IOP1000T
					4: 5662 IOP1000T
					4: 5609 IOP1000T
					4: 5615 IOP1000T
					4: 5609 IOP1000T
					4: 5609 IOP1000T
					4: 5632 IOP1000T
					4: 5645 IOP1000T
					4: 5626 IOP1000T
					4: 5639 IOP1000T
					4: 5620 IOP1000T
					4: 5620 IOP1000T
					4: 5639 IOP1000T
					4: 5626 IOP1000T
					4: 5592 IOP1000T
					4: 5609 IOP1000T
					4: 5592 IOP1000T
					4: 5626 IOP1000T
					4: 5615 IOP1000T
					4: 5615 IOP1000T
					4: 5639 IOP1000T
					4: 5650 IOP1000T
					4: 5645 IOP1000T
					4: 5667 IOP1000T
					4: 5632 IOP1000T
					4: 5626 IOP1000T

caso 1
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T
4: 5412 KFLOP1000T
4: 5412 KFLOP1000T
4: 5407 KFLOP1000T
4: 5416 KFLOP1000T
4: 5412 KFLOP1000T
4: 5412 KFLOP1000T
4: 5407 KFLOP1000T
4: 5407 KFLOP1000T
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T
4: 5373 KFLOP1000T
4: 5407 KFLOP1000T
4: 5412 KFLOP1000T
4: 5412 KFLOP1000T
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T
4: 5416 KFLOP1000T
4: 5412 KFLOP1000T
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T
4: 5421 KFLOP1000T
4: 5412 KFLOP1000T
4: 5416 KFLOP1000T

caso 2
					6: 651 IOP1000T
5: 4820 KFLOP1000T
					6: 655 IOP1000T
5: 4824 KFLOP1000T
					6: 656 IOP1000T
5: 4831 KFLOP1000T
					6: 654 IOP1000T
5: 4835 KFLOP1000T
					6: 654 IOP1000T
5: 4820 KFLOP1000T
					6: 656 IOP1000T
5: 4820 KFLOP1000T
					6: 656 IOP1000T
					6: 655 IOP1000T
5: 4824 KFLOP1000T
					6: 656 IOP1000T
5: 4820 KFLOP1000T
					6: 655 IOP1000T
5: 4831 KFLOP1000T
					6: 656 IOP1000T
5: 4824 KFLOP1000T
					6: 656 IOP1000T
5: 4824 KFLOP1000T
					6: 656 IOP1000T
5: 4824 KFLOP1000T
					6: 655 IOP1000T
					6: 656 IOP1000T
5: 4820 KFLOP1000T
					6: 655 IOP1000T
5: 4820 KFLOP1000T
					6: 656 IOP1000T
5: 4824 KFLOP1000T
					6: 654 IOP1000T
5: 4820 KFLOP1000T
					6: 656 IOP1000T
5: 4839 KFLOP1000T
					6: 654 IOP1000T
5: 4831 KFLOP1000T
					6: 656 IOP1000T
					6: 655 IOP1000T
5: 4831 KFLOP1000T
					6: 654 IOP1000T
5: 4820 KFLOP1000T
					6: 656 IOP1000T
5: 4827 KFLOP1000T
					6: 655 IOP1000T
5: 4839 KFLOP1000T
					6: 654 IOP1000T
5: 4831 KFLOP1000T
					6: 656 IOP1000T
5: 4824 KFLOP1000T
					6: 655 IOP1000T

caso 3			
					5: 3671 IOP1000T
					6: 4038 IOP1000T
					5: 4120 IOP1000T
					6: 2807 IOP1000T
					5: 4689 IOP1000T
					6: 4407 IOP1000T
					5: 4347 IOP1000T
					6: 2990 IOP1000T
					6: 4416 IOP1000T
					5: 4125 IOP1000T
					5: 4625 IOP1000T
					6: 2342 IOP1000T
					5: 4854 IOP1000T
					6: 3143 IOP1000T
					5: 3933 IOP1000T
					6: 3746 IOP1000T
					5: 4703 IOP1000T
					6: 2095 IOP1000T
					5: 4713 IOP1000T
					6: 4015 IOP1000T
					5: 4724 IOP1000T
					6: 1996 IOP1000T
					5: 5147 IOP1000T
					6: 2560 IOP1000T
					5: 4693 IOP1000T
					6: 2419 IOP1000T
					5: 4500 IOP1000T
					6: 3196 IOP1000T
					5: 4752 IOP1000T
					6: 3907 IOP1000T
					5: 4766 IOP1000T
					6: 2540 IOP1000T
					5: 4947 IOP1000T
					6: 3259 IOP1000T
					5: 4228 IOP1000T
					6: 3086 IOP1000T
					5: 4879 IOP1000T
					6: 2258 IOP1000T
					5: 4047 IOP1000T
					6: 3996 IOP1000T
					5: 4347 IOP1000T
					6: 2070 IOP1000T
					5: 3928 IOP1000T
					6: 3437 IOP1000T
					5: 4453 IOP1000T
					6: 2695 IOP1000T
					5: 4580 IOP1000T
					6: 3033 IOP1000T
					5: 4091 IOP1000T
					6: 4000 IOP1000T
					5: 5589 IOP1000T
					6: 2804 IOP1000T
					5: 4562 IOP1000T
					6: 3648 IOP1000T
					5: 4957 IOP1000T
					6: 4207 IOP1000T
					5: 4422 IOP1000T
					6: 2324 IOP1000T

caso 4
5: 6767 KFLOP1000T
6: 6699 KFLOP1000T
5: 6778 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6778 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6778 KFLOP1000T
6: 6699 KFLOP1000T
5: 6778 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6722 KFLOP1000T
5: 6710 KFLOP1000T
6: 6622 KFLOP1000T
5: 6767 KFLOP1000T
6: 6699 KFLOP1000T
5: 6778 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6778 KFLOP1000T
6: 6688 KFLOP1000T
5: 6778 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T
5: 6767 KFLOP1000T
6: 6699 KFLOP1000T
5: 6778 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6699 KFLOP1000T
5: 6767 KFLOP1000T
6: 6710 KFLOP1000T


